PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
40053979,Feshbach Resonances in Exciton-Charge-Carrier Scattering in Semiconductor Bilayers.,,,,
40053687,Brief hypothermic oxygenated perfusion provides cardioprotection in a pig model of donation after circulatory death.,2025-03-07,,,
40053529,The Transport Properties of Water and Ions Confined in the Highly Aligned Graphene Aerogels: A Molecular Dynamics Simulation.,2025-03-07,,,
40053381,Cold Alkali Treatment Enabled Stretchable yet Mechanically Strong All-Cellulose Composite.,2025-03-07,,,
40053342,"Low-cost electrochemical gas sensing of vertical differences in wintertime air composition (CO, NO, NO<sub>2</sub>, O<sub>3</sub>) in Fairbanks, Alaska.",2025-03-07,"Roberts, Tjarda J","LPC2E, OSUC, Université d'Orléans, CNRS, CNES, 45071, Orléans, France.",
40053276,Effect of fieldwork-friendly coffee blender-based extraction methods and leaf tissue storage on the transcriptome of non-model plants.,2025-03-07,,,
40053196,Asilomar Goes Underground: The Long Legacy of Recombinant DNA Hazard Debates for the Greater Boston Area Biotechnology Industry.,2025-03-07,"Scheffler, Robin Wolfe","Program in Science, Technology, and Society, MIT, 77 Massachusetts Avenue E51-186, Cambridge, MA, 02139, USA. rws42@mit.edu.",
40052516,Storage stability of konjac glucomannan/curdlan films at low temperature and its coating for the preservation of cucumbers.,,,,
40052345,Heat-responsive MaHSF11 transcriptional activator positively regulates flavonol biosynthesis and flavonoid B-ring hydroxylation in banana (Musa acuminata).,,,,
40052272,Clinical Outcomes With Normothermic Pulsatile Organ Perfusion in Heart Transplantation: A Report From the OCS Heart Perfusion Registry.,2025-03-07,"Farr, Maryjane A; Mehra, Mandeep R; D'Alessandro, David A; Villavicencio, Mauricio A; Gruber, Peter J; Couper, Gregory S; Shudo, Yasuhiro; Patel, Parag C; Skipper, Eric R; Esmailian, Fardad; Goldstein, Daniel; Ohira, Suguru; Lozonschi, Lucian; Sun, Benjamin C; Anyanwu, Anelechi C; Williams, Celeste T; Pham, Duc T; Kai, Masashi; Sulemanjee, Nasir Z; Itoh, Akinobu; Funamoto, Masaki; Durham, Lucian A; Zhou, Xiang; Zafar, Farhan; Pinney, Sean P","Tampa General Hospital, FL (L.L.).; Northwestern Memorial Hospital, Chicago, IL (D.T.P.).; Carolinas Medical Center, Charlotte, NC (E.R.S.).; Froedtert Memorial Lutheran Hospital, Milwaukee, WI (L.A.D.).; Abbott Northwestern Hospital, Minneapolis, MN (B.C.S.).; Montefiore Medical Center, Bronx, NY (D.G.).; Aurora St. Luke's Medical Center, Milwaukee, WI (N.Z.S.).; Westchester Medical Center, Valhalla, NY (S.O.).; Mayo Clinic Hospital Florida, Jacksonville (P.C.P.).; Henry Ford Hospital, Detroit, MI (C.T.W.).; Yale New Haven Hospital, New Haven, CT (P.J.G.).; Mayo Clinic Hospital Minnesota, Rochester (M.A.V.).; Brigham and Women's Hospital, Boston, MA (M.R.M., A.I.).; Massachusetts General Hospital, Boston (D.A.D.).; Stanford Health Care, Palo Alto, CA (Y.S.).; Methodist Specialty and Transplant Hospital, San Antonio, TX (M.F.).; UT Southwestern Medical Center, Dallas, TX (M.A.F.).; Beth Israel Deaconess Medical Center, Boston, MA (M.K.).; Cedars-Sinai Medical Center, Los Angeles, CA (F.E.).; Tufts Medical Center, Boston, MA (G.S.C.).; TransMedics, Inc, andover, MA (X.Z., F.Z.).; Mount Sinai Medical Center, New York, NY (A.C.A., S.P.P.).",
